SKU,SKU_Name
APPL-001,Air Fryer 5L
APPL-002,Microwave Oven 20L
APPL-003,Hand Blender
AUTO-001,Dash Cam HD
AUTO-002,Tyre Inflator
AUTO-003,Car Seat Organiser
BABY-001,Baby Monitor
BABY-002,Nappy Pack 40
BABY-003,Baby Wipes 80ct
BEAU-001,Face Moisturiser
BEAU-002,Lipstick Set
BEAU-003,Hair Serum 100ml
BOOK-001,Fiction Novel
BOOK-002,Academic Textbook
BOOK-003,Self-Help Guide
CLTH-001,Denim Jacket
CLTH-002,Cotton T-Shirt
CLTH-003,Formal Trousers
DIY0-001,Power Drill
DIY0-002,Sandpaper Pack
DIY0-003,Adhesive Tape Pack
ELEC-001,Bluetooth Speaker
ELEC-002,USB-C Hub 7-Port
ELEC-003,Wireless Charger
FURN-001,Office Chair
FURN-002,Bookshelf 5-Tier
FURN-003,Bedside Table
GRDN-001,Garden Hose 20m
GRDN-002,Plant Pots Set
GRDN-003,Pruning Shears
GROC-001,Ground Coffee 500g
GROC-002,Cooking Oil 1L
GROC-003,Pasta 500g
HLTH-001,Vitamin C 60 Tablets
HLTH-002,Digital Thermometer
HLTH-003,First Aid Kit
HOMK-001,Non-stick Pan 28cm
HOMK-002,Knife Set 5pc
HOMK-003,Cutting Board
JWLY-001,Silver Necklace
JWLY-002,Gold Earrings
JWLY-003,Pearl Bracelet
MOVI-001,Action DVD Pack
MOVI-002,Streaming Voucher
MOVI-003,Popcorn Maker
MUSC-001,Acoustic Guitar
MUSC-002,DJ Headphones
MUSC-003,Digital Piano
OFFC-001,A4 Paper Ream
OFFC-002,Ballpoint Pens 10pk
OFFC-003,Desk Organiser
OUTD-001,Camping Tent 2P
OUTD-002,Sleeping Bag
OUTD-003,Hiking Socks 3-Pack
PCAR-001,Electric Toothbrush
PCAR-002,Razor 5-Blade
PCAR-003,Shampoo 400ml
PETS-001,Dry Dog Food 2kg
PETS-002,Cat Litter 5kg
PETS-003,Pet Collar
SOFT-001,Antivirus 1-Year
SOFT-002,Office Suite
SOFT-003,VPN Subscription
SPRT-001,Yoga Mat
SPRT-002,Dumbbell Pair 5kg
SPRT-003,Resistance Bands
TOOL-001,Screwdriver Set
TOOL-002,Hammer 500g
TOOL-003,Adjustable Wrench
TOYS-001,Building Blocks Set
TOYS-002,Remote Control Car
TOYS-003,Jigsaw Puzzle 500pc
