Category,Model,MAE (Rs.),RMSE (Rs.),MAPE (%)
Electronics,Prophet,2071.0,2656.1,17.78
Electronics,ARIMA,1967.5,2478.4,16.23
Electronics,XGBoost,2234.3,2659.4,19.76
Entertainment,Prophet,4189.2,5154.2,27.22
Entertainment,ARIMA,3033.9,3754.0,19.07
Entertainment,XGBoost,2843.8,3478.6,17.14
Fashion,Prophet,1677.2,2081.6,35.53
Fashion,ARIMA,1669.2,1987.4,29.93
Fashion,XGBoost,1760.7,2097.2,32.77
Health,Prophet,4448.6,5448.3,22.56
Health,ARIMA,4136.3,4887.5,22.66
Health,XGBoost,3788.4,4613.8,20.55
Home,Prophet,2605.0,3209.9,13.64
Home,ARIMA,3543.2,4217.9,18.37
Home,XGBoost,2821.1,3429.1,14.72
Sports,Prophet,1513.8,1842.8,18.0
Sports,ARIMA,1643.8,2045.8,17.98
Sports,XGBoost,1714.1,2133.3,19.27
